Formula One circuits,,,,,,,,
Circuit,Type,Direction,Location,Country,Last length used,Grands Prix,Season(s),Grands Prix held
Circuito da Boavista,Street circuit,Anti-clockwise,Porto,PortugalPortugal,7.775 km (4.831 mi),Portuguese Grand Prix,"1958, 1960",2
Circuito de Monsanto,Street circuit,Clockwise,Lisbon,PortugalPortugal,5.440 km (3.380 mi),Portuguese Grand Prix,1959,1
Circuito Permanente de Jerez,Race circuit,Clockwise,Jerez de la Frontera,SpainSpain,4.428 km (2.751 mi),"Spanish Grand Prix,","1986–1990, 1994, 1997",7
,,,,,,European Grand Prix,,
Circuito Permanente del Jarama,Race circuit,Clockwise,San Sebastián de los Reyes,SpainSpain,3.404 km (2.115 mi),Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9
Complexe Européen de Nivelles-Baulers,Race circuit,Clockwise,Nivelles,BelgiumBelgium,3.724 km (2.314 mi),Belgian Grand Prix,"1972, 1974",2
Dallas Fair Park,Street circuit,Anti-clockwise,Dallas,United StatesUnited States,3.901 km (2.424 mi),Dallas Grand Prix,1984,1
Detroit Street Circuit,Street circuit,Anti-clockwise,Detroit,United StatesUnited States,4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7
Donington Park,Race circuit,Clockwise,Castle Donington,United KingdomUnited Kingdom,4.020 km (2.498 mi),European Grand Prix,1993,1
Fuji Speedway,Race circuit,Clockwise,Oyama,JapanJapan,4.563 km (2.835 mi),Japanese Grand Prix,"1976–1977, 2007–2008",4
Hockenheimring,Race circuit,Clockwise,Hockenheim,GermanyGermany,4.574 km (2.842 mi),German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37
Hungaroring ✔,Race circuit,Clockwise,Mogyoród,HungaryHungary,4.381 km (2.722 mi),Hungarian Grand Prix,1986–2022,37
Indianapolis Motor Speedway,Race circuit,Clockwise,Speedway,United StatesUnited States,4.192 km (2.605 mi),"Indianapolis 500,[b]","1950–1960, 2000–2007",19
,,,,,,United States Grand Prix,,
Intercity Istanbul Park,Race circuit,Anti-clockwise,Istanbul,TurkeyTurkey,5.338 km (3.317 mi),Turkish Grand Prix,"2005–2011, 2020–2021",9
Jeddah Corniche Circuit ✔,Street circuit,Anti-clockwise,Jeddah,Saudi ArabiaSaudi Arabia,6.174 km (3.836 mi),Saudi Arabian Grand Prix,2021–2022,2
Korea International Circuit,Race circuit,Anti-clockwise,Yeongam,South KoreaSouth Korea,5.615 km (3.489 mi),Korean Grand Prix,2010–2013,4
Kyalami Grand Prix Circuit,Race circuit,Anti-clockwise,Midrand,South AfricaSouth Africa,4.261 km (2.648 mi),South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20
Las Vegas Street Circuit ✔,Street circuit,Anti-clockwise,Paradise,United StatesUnited States,6.120 km (3.803 mi),Las Vegas Grand Prix,,0
Long Beach Street Circuit,Street circuit,Clockwise,Long Beach,United StatesUnited States,3.275 km (2.035 mi),United States Grand Prix West,1976–1983,8
Losail International Circuit ✔,Race circuit,Clockwise,Lusail,QatarQatar,5.380 km (3.343 mi),Qatar Grand Prix,2021,1
Marina Bay Street Circuit ✔,Street circuit,Anti-clockwise,Marina Bay,SingaporeSingapore,5.063 km (3.146 mi),Singapore Grand Prix,"2008–2019, 2022",13
Miami International Autodrome ✔,Street circuit,Anti-clockwise,Miami Gardens,United StatesUnited States,5.412 km (3.363 mi),Miami Grand Prix,2022,1
Montjuïc circuit,Street circuit,Anti-clockwise,Barcelona,SpainSpain,3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4
Mosport International Raceway,Race circuit,Clockwise,Bowmanville,CanadaCanada,3.957 km (2.459 mi),Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8
Nürburgring,Race circuit,Clockwise,Nürburg,GermanyGermany,5.148 km (3.199 mi),"German Grand Prix,","1951–1954, 1956–1958, 1961–1969, 1971–1976, 1984–1985, 1995–2007, 2009, 2011, 2013, 2020",41
,,,,,,"European Grand Prix,",,
,,,,,,"Luxembourg Grand Prix,",,
,,,,,,Eifel Grand Prix,,
Pescara Circuit,Road circuit,Clockwise,Pescara,ItalyItaly,25.800 km (16.031 mi),Pescara Grand Prix,1957,1
Phoenix Street Circuit,Street circuit,Anti-clockwise,Phoenix,United StatesUnited States,3.720 km (2.312 mi),United States Grand Prix,1989–1991,3
Prince George Circuit,Race circuit,Clockwise,East London,South AfricaSouth Africa,3.920 km (2.436 mi),South African Grand Prix,"1962–1963, 1965",3
Red Bull Ring ✔,Race circuit,Clockwise,Spielberg,AustriaAustria,4.318 km (2.683 mi),"Austrian Grand Prix,","1970–1987, 1997–2003, 2014–2022[c]",36
,,,,,,Styrian Grand Prix,,
Riverside International Raceway,Race circuit,Clockwise,Moreno Valley,United StatesUnited States,5.271 km (3.275 mi),United States Grand Prix,1960,1
Rouen-Les-Essarts,Road circuit,Clockwise,Orival,FranceFrance,6.542 km (4.065 mi),French Grand Prix,"1952, 1957, 1962, 1964, 1968",5
Scandinavian Raceway,Race circuit,Clockwise,Anderstorp,SwedenSweden,4.031 km (2.505 mi),Swedish Grand Prix,1973–1978,6
Sebring Raceway,Road circuit,Clockwise,Sebring,United StatesUnited States,8.356 km (5.192 mi),United States Grand Prix,1959,1
Sepang International Circuit,Race circuit,Clockwise,Sepang,MalaysiaMalaysia,5.543 km (3.444 mi),Malaysian Grand Prix,1999–2017,19
Shanghai International Circuit *,Race circuit,Clockwise,Shanghai,ChinaChina,5.451 km (3.387 mi),Chinese Grand Prix,2004–2019,16
Silverstone Circuit ✔,Race circuit,Clockwise,Silverstone,United KingdomUnited Kingdom,5.891 km (3.660 mi),"British Grand Prix,","1950–1954, 1956, 1958, 1960, 1963, 1965, 1967, 1969, 1971, 1973, 1975, 1977, 1979, 1981, 1983, 1985, 1987–2022[a]",57
,,,,,,70th Anniversary Grand Prix,,
Sochi Autodrom,Race circuit,Clockwise,Sochi,RussiaRussia,5.848 km (3.634 mi),Russian Grand Prix,2014–2021,8
Suzuka International Racing Course ✔,Race circuit,Part clockwise and part anti-clockwise (figure eight),Suzuka,JapanJapan,5.807 km (3.608 mi),Japanese Grand Prix,"1987–2006, 2009–2019, 2022",32
TI Circuit Aida,Race circuit,Clockwise,Mimasaka,JapanJapan,3.703 km (2.301 mi),Pacific Grand Prix,1994–1995,2
Valencia Street Circuit,Street circuit,Clockwise,Valencia,SpainSpain,5.419 km (3.367 mi),European Grand Prix,2008–2012,5
Watkins Glen International,Race circuit,Clockwise,Watkins Glen,United StatesUnited States,5.430 km (3.374 mi),United States Grand Prix,1961–1980,20
Yas Marina Circuit ✔,Race circuit,Anti-clockwise,Abu Dhabi,United Arab EmiratesUnited Arab Emirates,5.281 km (3.281 mi),Abu Dhabi Grand Prix,2009–2022,14
Zeltweg Airfield,Road circuit,Clockwise,Zeltweg,AustriaAustria,3.186 km (1.980 mi),Austrian Grand Prix,1964,1
