resultId,raceId,driverId,statusId,status,year
17662,730,427,3,Accident,1962
17661,730,364,3,Accident,1962
17825,736,430,3,Accident,1962
17771,734,401,3,Accident,1962
17768,734,385,3,Accident,1962
20320,728,310,3,Accident,1963
20312,728,356,3,Accident,1963
17535,724,404,3,Accident,1963
17536,724,385,3,Accident,1963
17456,721,356,3,Accident,1963
17432,720,346,3,Accident,1963
17431,720,440,3,Accident,1963
17430,720,376,3,Accident,1963
17427,720,438,3,Accident,1963
17404,719,404,3,Accident,1963
17426,720,408,3,Accident,1963
17534,724,435,3,Accident,1963
17530,724,438,3,Accident,1963
17531,724,360,3,Accident,1963
17533,724,278,3,Accident,1963
17287,713,380,3,Accident,1964
17282,713,420,3,Accident,1964
17263,712,401,3,Accident,1964
17260,712,404,3,Accident,1964
17229,710,408,3,Accident,1964
17329,715,346,3,Accident,1964
17323,715,403,3,Accident,1964
17303,714,309,3,Accident,1964
17302,714,405,3,Accident,1964
17045,701,370,3,Accident,1965
17058,702,385,3,Accident,1965
17067,702,358,3,Accident,1965
17024,700,406,3,Accident,1965
16846,691,396,3,Accident,1966
16905,694,358,3,Accident,1966
16904,694,387,3,Accident,1966
16848,691,346,3,Accident,1966
16841,691,328,3,Accident,1966
16842,691,347,3,Accident,1966
16843,691,374,3,Accident,1966
16844,691,289,3,Accident,1966
16847,691,304,3,Accident,1966
16923,695,399,3,Accident,1966
16918,695,387,3,Accident,1966
16915,695,373,3,Accident,1966
16939,696,386,3,Accident,1966
16924,695,389,82,Injury,1966
16684,682,387,3,Accident,1967
16637,680,385,3,Accident,1967
16629,679,289,3,Accident,1967
16621,679,368,3,Accident,1967
16666,681,360,3,Accident,1967
16771,687,346,3,Accident,1967
16487,672,359,3,Accident,1968
16413,668,345,3,Accident,1968
16488,672,377,3,Accident,1968
16398,667,333,3,Accident,1968
16423,669,345,3,Accident,1968
16425,669,306,3,Accident,1968
16428,669,358,3,Accident,1968
16461,671,289,3,Accident,1968
16469,671,360,3,Accident,1968
16471,671,376,3,Accident,1968
16431,669,360,3,Accident,1968
16432,669,262,3,Accident,1968
16571,676,235,3,Accident,1968
16559,676,359,3,Accident,1968
16579,677,304,3,Accident,1968
16548,675,350,3,Accident,1968
16546,675,278,3,Accident,1968
16545,675,341,3,Accident,1968
16528,674,350,3,Accident,1968
16524,674,306,3,Accident,1968
16523,674,278,3,Accident,1968
16307,662,350,3,Accident,1969
16308,662,207,3,Accident,1969
16306,662,361,3,Accident,1969
16352,665,289,3,Accident,1969
16337,664,328,4,Collision,1969
16344,664,351,3,Accident,1969
16249,658,356,3,Accident,1969
16250,658,262,3,Accident,1969
16231,657,358,3,Accident,1969
16233,657,289,3,Accident,1969
16377,666,346,3,Accident,1969
16106,651,207,3,Accident,1970
16122,652,356,3,Accident,1970
15989,647,320,3,Accident,1970
15987,647,361,3,Accident,1970
16030,649,345,3,Accident,1970
16034,649,280,3,Accident,1970
16011,648,346,3,Accident,1970
15926,644,235,3,Accident,1970
15927,644,262,3,Accident,1970
15907,643,361,3,Accident,1970
15786,638,235,3,Accident,1971
15781,638,320,3,Accident,1971
15779,638,278,3,Accident,1971
15736,636,223,3,Accident,1971
15764,637,262,3,Accident,1971
15763,637,289,3,Accident,1971
15853,641,306,3,Accident,1971
15855,641,223,3,Accident,1971
15856,641,289,3,Accident,1971
15858,641,307,3,Accident,1971
15833,640,243,3,Accident,1971
15881,642,304,3,Accident,1971
15874,642,305,3,Accident,1971
15642,632,327,3,Accident,1971
15712,635,327,3,Accident,1971
15716,635,338,3,Accident,1971
15686,634,223,3,Accident,1971
15689,634,327,3,Accident,1971
15690,634,289,3,Accident,1971
15687,634,320,3,Accident,1971
15587,630,238,4,Collision,1972
15623,631,333,4,Collision,1972
15612,631,305,4,Collision,1972
15492,626,333,3,Accident,1972
15490,626,280,3,Accident,1972
15464,625,337,107,Eye injury,1972
15564,629,223,4,Collision,1972
15565,629,250,4,Collision,1972
15503,627,328,4,Collision,1972
15510,627,280,3,Accident,1972
15377,622,328,3,Accident,1972
15383,622,317,3,Accident,1972
15387,622,243,3,Accident,1972
15390,622,339,3,Accident,1972
15338,620,339,3,Accident,1972
15433,624,223,3,Accident,1972
15435,624,330,3,Accident,1972
15410,623,280,3,Accident,1972
15415,623,320,3,Accident,1972
15414,623,314,3,Accident,1972
15413,623,307,3,Accident,1972
15412,623,305,3,Accident,1972
15411,623,223,3,Accident,1972
15212,615,332,3,Accident,1973
15238,616,329,4,Collision,1973
15214,615,182,3,Accident,1973
15167,613,262,4,Collision,1973
15166,613,332,4,Collision,1973
15165,613,335,4,Collision,1973
15164,613,333,4,Collision,1973
15163,613,306,4,Collision,1973
15162,613,250,4,Collision,1973
15161,613,200,4,Collision,1973
15160,613,305,4,Collision,1973
15159,613,222,4,Collision,1973
15192,614,262,3,Accident,1973
15189,614,335,3,Accident,1973
15185,614,290,3,Accident,1973
15317,619,327,3,Accident,1973
15300,619,197,3,Accident,1973
15256,617,182,3,Accident,1973
15263,617,231,3,Accident,1973
15286,618,327,3,Accident,1973
15285,618,222,3,Accident,1973
15063,609,307,3,Accident,1973
15062,609,309,3,Accident,1973
15061,609,238,3,Accident,1973
15058,609,197,3,Accident,1973
15057,609,329,3,Accident,1973
15056,609,223,3,Accident,1973
15024,607,305,3,Accident,1973
15066,609,262,3,Accident,1973
15023,607,235,3,Accident,1973
15021,607,293,3,Accident,1973
15011,607,250,3,Accident,1973
15022,607,223,3,Accident,1973
15069,609,305,3,Accident,1973
15132,612,222,3,Accident,1973
15133,612,224,3,Accident,1973
15087,610,306,3,Accident,1973
15114,611,290,3,Accident,1973
14548,590,309,3,Accident,1974
14549,590,197,3,Accident,1974
14832,600,304,3,Accident,1974
14831,600,182,3,Accident,1974
14824,600,221,3,Accident,1974
14821,600,305,3,Accident,1974
14862,601,243,3,Accident,1974
14854,601,221,4,Collision,1974
14853,601,235,4,Collision,1974
14791,599,233,3,Accident,1974
14887,602,230,3,Accident,1974
14918,603,182,3,Accident,1974
14656,594,231,3,Accident,1974
14658,594,280,4,Collision,1974
14648,594,252,4,Collision,1974
14684,595,250,4,Collision,1974
14683,595,312,4,Collision,1974
14682,595,230,4,Collision,1974
14681,595,232,4,Collision,1974
14680,595,304,4,Collision,1974
14679,595,306,4,Collision,1974
14600,592,238,4,Collision,1974
14685,595,314,4,Collision,1974
14618,593,232,3,Accident,1974
14674,595,305,3,Accident,1974
14678,595,233,4,Collision,1974
14677,595,267,3,Accident,1974
14676,595,296,3,Accident,1974
14740,597,233,3,Accident,1974
14764,598,231,4,Collision,1974
14762,598,252,4,Collision,1974
14739,597,252,4,Collision,1974
14738,597,231,4,Collision,1974
14182,576,290,3,Accident,1975
14257,579,221,3,Accident,1975
14310,581,178,3,Accident,1975
14311,581,200,3,Accident,1975
14355,583,200,3,Accident,1975
14245,579,243,3,Accident,1975
14227,578,251,3,Accident,1975
14246,579,250,3,Accident,1975
14253,579,231,3,Accident,1975
14271,580,288,3,Accident,1975
14272,580,231,3,Accident,1975
14274,580,230,3,Accident,1975
14275,580,252,3,Accident,1975
14276,580,223,3,Accident,1975
14279,580,197,3,Accident,1975
14255,579,288,3,Accident,1975
14256,579,178,3,Accident,1975
14260,579,182,3,Accident,1975
14247,579,252,3,Accident,1975
14489,588,233,3,Accident,1975
14492,588,243,3,Accident,1975
14495,588,294,3,Accident,1975
14496,588,207,3,Accident,1975
14488,588,275,3,Accident,1975
14468,587,207,3,Accident,1975
14469,587,288,3,Accident,1975
14470,587,205,3,Accident,1975
14465,587,233,3,Accident,1975
14202,577,252,3,Accident,1975
14513,589,239,3,Accident,1975
14519,589,294,3,Accident,1975
14521,589,221,3,Accident,1975
14522,589,250,3,Accident,1975
14493,588,200,3,Accident,1975
14395,585,200,3,Accident,1975
14397,585,221,3,Accident,1975
14399,585,187,3,Accident,1975
14402,585,197,3,Accident,1975
14403,585,294,3,Accident,1975
14404,585,205,3,Accident,1975
14405,585,300,3,Accident,1975
14406,585,301,3,Accident,1975
14407,585,290,3,Accident,1975
14408,585,233,3,Accident,1975
14409,585,302,3,Accident,1975
14410,585,252,3,Accident,1975
14393,585,288,3,Accident,1975
14392,585,231,3,Accident,1975
14391,585,222,3,Accident,1975
14390,585,250,3,Accident,1975
14429,586,294,3,Accident,1975
14430,586,222,3,Accident,1975
14440,586,200,3,Accident,1975
14441,586,270,3,Accident,1975
13774,561,251,3,Accident,1976
13773,561,238,3,Accident,1976
13790,562,231,3,Accident,1976
13742,560,197,3,Accident,1976
13743,560,231,3,Accident,1976
13746,560,238,3,Accident,1976
13747,560,207,3,Accident,1976
13791,562,233,3,Accident,1976
14019,570,178,3,Accident,1976
13793,562,199,3,Accident,1976
13962,568,230,3,Accident,1976
13967,568,233,3,Accident,1976
13968,568,265,3,Accident,1976
14010,570,239,3,Accident,1976
14015,570,230,3,Accident,1976
14016,570,224,3,Accident,1976
14017,570,250,3,Accident,1976
14022,570,232,3,Accident,1976
13989,569,230,3,Accident,1976
13992,569,238,3,Accident,1976
13996,569,182,3,Accident,1976
13998,569,229,3,Accident,1976
13997,569,239,3,Accident,1976
13879,565,178,4,Collision,1976
13872,565,172,3,Accident,1976
13874,565,223,3,Accident,1976
13876,565,238,3,Accident,1976
13880,565,199,3,Accident,1976
13792,562,230,3,Accident,1976
13846,564,278,3,Accident,1976
13855,564,238,3,Accident,1976
13856,564,255,3,Accident,1976
13911,566,187,3,Accident,1976
13908,566,271,3,Accident,1976
13909,566,255,3,Accident,1976
13904,566,278,3,Accident,1976
13990,569,221,3,Accident,1976
14152,575,200,3,Accident,1976
13821,563,221,3,Accident,1976
14133,574,232,3,Accident,1976
14073,572,233,3,Accident,1976
14074,572,207,3,Accident,1976
14045,571,256,3,Accident,1976
14051,571,232,3,Accident,1976
14048,571,255,3,Accident,1976
14127,574,250,4,Collision,1976
14130,574,235,3,Accident,1976
