,year,round,sum entrants,raceId,resultId,driverId,forename,surname,statusId,status
960,2017,5,20,,,,,,,
961,2017,6,20,,,,,,,
962,2017,7,20,,,,,,,
963,2017,8,20,,,,,,,
964,2017,9,20,,,,,,,
965,2017,10,20,,,,,,,
966,2017,11,20,,,,,,,
967,2017,12,20,,,,,,,
968,2017,13,20,,,,,,,
969,2017,14,20,,,,,,,
970,2017,15,20,,,,,,,
971,2017,16,20,,,,,,,
972,2017,17,20,,,,,,,
973,2017,18,20,,,,,,,
974,2017,19,20,,,,,,,
975,2017,20,20,,,,,,,
976,2018,1,20,,,,,,,
977,2018,2,20,,,,,,,
978,2018,3,20,,,,,,,
979,2018,4,20,,,,,,,
980,2018,5,20,,,,,,,
981,2018,6,20,,,,,,,
982,2018,7,20,,,,,,,
983,2018,8,20,,,,,,,
984,2018,9,20,,,,,,,
985,2018,10,20,,,,,,,
986,2018,11,20,,,,,,,
987,2018,12,20,,,,,,,
988,2018,13,20,,,,,,,
989,2018,14,20,,,,,,,
990,2018,15,20,,,,,,,
991,2018,16,20,,,,,,,
992,2018,17,20,,,,,,,
993,2018,18,20,,,,,,,
994,2018,19,20,,,,,,,
995,2018,20,20,,,,,,,
996,2018,21,20,,,,,,,
997,2019,1,20,,,,,,,
998,2019,2,20,,,,,,,
999,2019,3,20,,,,,,,
1000,2019,4,20,,,,,,,
1001,2019,5,20,,,,,,,
1002,2019,6,20,,,,,,,
1003,2019,7,20,,,,,,,
1004,2019,8,20,,,,,,,
1005,2019,9,20,,,,,,,
1006,2019,10,20,,,,,,,
1007,2019,11,20,,,,,,,
1008,2019,12,20,,,,,,,
1009,2019,13,20,,,,,,,
1010,2019,14,20,,,,,,,
1011,2019,15,20,,,,,,,
1012,2019,16,20,,,,,,,
1013,2019,17,20,,,,,,,
1014,2019,18,20,,,,,,,
1015,2019,19,20,,,,,,,
1016,2019,20,20,,,,,,,
1017,2019,21,20,,,,,,,
1018,2020,1,20,,,,,,,
1019,2020,2,20,,,,,,,
1020,2020,3,20,,,,,,,
1021,2020,4,20,,,,,,,
1022,2020,5,20,,,,,,,
1023,2020,6,20,,,,,,,
1024,2020,7,20,,,,,,,
1025,2020,8,20,,,,,,,
1026,2020,9,20,,,,,,,
1027,2020,10,20,,,,,,,
1028,2020,11,20,,,,,,,
1029,2020,12,20,,,,,,,
1030,2020,13,20,,,,,,,
1031,2020,14,20,,,,,,,
1032,2020,15,20,,,,,,,
1033,2020,16,20,,,,,,,
1034,2020,17,20,,,,,,,
1035,2021,1,20,,,,,,,
1036,2021,2,20,,,,,,,
1037,2021,3,20,,,,,,,
1038,2021,4,20,,,,,,,
1039,2021,5,20,,,,,,,
1040,2021,6,20,,,,,,,
1041,2021,7,20,,,,,,,
1042,2021,8,20,,,,,,,
1043,2021,9,20,,,,,,,
1044,2021,10,20,,,,,,,
1045,2021,11,20,,,,,,,
1046,2021,12,20,,,,,,,
1047,2021,13,20,,,,,,,
1048,2021,14,20,,,,,,,
1049,2021,15,20,,,,,,,
1050,2021,16,20,,,,,,,
1051,2021,17,20,,,,,,,
1052,2021,18,20,,,,,,,
1053,2021,19,20,,,,,,,
1054,2021,20,20,,,,,,,
1055,2021,21,20,,,,,,,
1056,2021,22,20,,,,,,,
1057,2022,1,20,,,,,,,
1058,2022,2,20,,,,,,,
1059,2022,3,20,,,,,,,
1060,2022,4,20,,,,,,,
1061,2022,5,20,,,,,,,
1062,2022,6,20,,,,,,,
1063,2022,7,20,,,,,,,
1064,2022,8,20,,,,,,,
1065,2022,9,20,,,,,,,
1066,2022,10,20,,,,,,,
1067,2022,11,20,,,,,,,
1068,2022,12,20,,,,,,,
1069,2022,13,20,,,,,,,
1070,2022,14,20,,,,,,,
1071,2022,15,20,,,,,,,
1072,2022,16,20,,,,,,,
1073,2022,17,20,,,,,,,
1074,2022,18,20,,,,,,,
1075,2022,19,20,,,,,,,
1076,2022,20,20,,,,,,,
1077,2022,21,20,,,,,,,
1078,2022,22,20,,,,,,,
